date,away_team,PTS,home_team,PTS.1,winning_team,home_away_neutral,losing_team,team_1,team_2,home_team_conference,home_team_division,away_team_conference,away_team_division,team_1_division,team_2_division,team_1_conference,team_2_conference,day_of_week,time,compare_time,day_night,commence_date,my_game_id
1/16/2021,Minnesota Wild,4,Los Angeles Kings,3,Minnesota Wild,@,Los Angeles Kings,Los Angeles Kings,Minnesota Wild,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/16/2021,Boston Bruins,1,New Jersey Devils,2,New Jersey Devils,,Boston Bruins,Boston Bruins,New Jersey Devils,Eastern,Metropolitan,Eastern,Atlantic,Atlantic,Metropolitan,Eastern,Eastern,,,,,,
1/16/2021,Columbus Blue Jackets,2,Nashville Predators,5,Nashville Predators,,Columbus Blue Jackets,Columbus Blue Jackets,Nashville Predators,Western,Central,Eastern,Metropolitan,Metropolitan,Central,Eastern,Western,,,,,,
1/16/2021,New York Islanders,0,New York Rangers,5,New York Rangers,,New York Islanders,New York Islanders,New York Rangers,Eastern,Metropolitan,Eastern,Metropolitan,Metropolitan,Metropolitan,Eastern,Eastern,,,,,,
1/16/2021,Toronto Maple Leafs,3,Ottawa Senators,2,Toronto Maple Leafs,@,Ottawa Senators,Ottawa Senators,Toronto Maple Leafs,Eastern,Atlantic,Eastern,Atlantic,Atlantic,Atlantic,Eastern,Eastern,,,,,,
1/16/2021,Anaheim Ducks,1,Vegas Golden Knights,2,Vegas Golden Knights,,Anaheim Ducks,Anaheim Ducks,Vegas Golden Knights,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/17/2021,Chicago Blackhawks,2,Florida Panthers,5,Florida Panthers,,Chicago Blackhawks,Chicago Blackhawks,Florida Panthers,Eastern,Atlantic,Western,Central,Central,Atlantic,Western,Eastern,,,,,,
1/17/2021,Washington Capitals,3,Pittsburgh Penguins,4,Pittsburgh Penguins,,Washington Capitals,Pittsburgh Penguins,Washington Capitals,Eastern,Metropolitan,Eastern,Metropolitan,Metropolitan,Metropolitan,Eastern,Eastern,,,,,,
1/18/2021,Minnesota Wild,0,Anaheim Ducks,1,Anaheim Ducks,,Minnesota Wild,Anaheim Ducks,Minnesota Wild,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/18/2021,Vancouver Canucks,2,Calgary Flames,5,Calgary Flames,,Vancouver Canucks,Calgary Flames,Vancouver Canucks,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
